pickup_day_name,total_trips,total_revenue,average_total_amount,average_trip_distance,average_trip_duration
Monday,393005,11331302.8,28.832464726911873,3.7740306866324853,14.963806482529908
Tuesday,448879,12404110.57,27.633528345055126,4.244386505049245,15.471662185132296
Wednesday,480554,13220799.18,27.51157867794254,3.6080822550639473,15.51958829462107
Thursday,416030,11532275.36,27.719816743984808,3.5390635050356947,15.783849522069723
Friday,396156,10767101.27,27.178942815456537,3.6746164894637467,15.160574706260498
Saturday,406923,10254988.91,25.201300762060637,3.3872894380509333,13.89939374279655
Sunday,326488,8897239.32,27.25135171889932,3.9026221178113745,13.426461717837512
