distance_bucket,total_trips,total_revenue,average_total_amount,median_total_amount,average_fare_amount,average_tip_amount,average_trip_duration,average_revenue_per_mile,median_revenue_per_mile,trip_share_percentage
0-1 miles,704747,10065419.8,14.282316632777437,13.5,7.808529543226151,1.827522813151386,5.9894266074681175,39.74774408351033,19.32051282051282,24.57246860655466
1-3 miles,1402648,28646906.2,20.423446367156977,19.75,13.078292458264654,2.6504759069987625,12.30038518811087,12.048360107895396,11.64963503649635,48.906237197244806
3-5 miles,305453,9437188.56,30.895714103315406,30.24,22.24703221117488,3.8522863419249442,20.632782075583915,8.21005025786154,8.04812834224599,10.650253570824624
5-10 miles,230426,10996596.39,47.72289754628384,44.6,34.0384367649484,5.737471465893607,25.709044335274665,6.576798195534341,6.56140350877193,8.034281311071867
10-20 miles,195889,15965705.36,81.5038381940793,82.69,60.928628100607995,9.690398542031456,39.59545975867285,5.542080292256605,5.436602870813398,6.830077038808802
20+ miles,28872,3296001.1,114.15908492657246,99.19,90.2894008035467,12.326523275145469,49.84035974877621,4.694549536343702,4.5905292479108635,1.0066822754952431
