payment_type_label,total_trips,average_tip_amount,median_tip_amount,average_tip_percentage,median_tip_percentage,average_total_amount
Cash,422295,0.00014885328976189631,0.0,0.0010290268373837985,0.0,23.831983258148924
Credit card,2296991,4.155780579897788,3.14,26.28047575954399,26.249999999999996,28.07218271643206
