distance_bucket,total_trips,total_revenue,average_total_amount,average_trip_distance,average_trip_duration,average_revenue_per_mile,median_revenue_per_mile
0-1 miles,704747,10065419.8,14.282316632777437,0.7019304942057221,5.9894266074681175,39.74774408351033,19.32051282051282
1-3 miles,1402648,28646906.2,20.423446367156977,1.7751181265720266,12.30038518811087,12.048360107895396,11.64963503649635
3-5 miles,305453,9437188.56,30.895714103315406,3.8004058889583665,20.632782075583915,8.21005025786154,8.04812834224599
5-10 miles,230426,10996596.39,47.72289754628384,7.280299228385686,25.709044335274665,6.576798195534341,6.56140350877193
10-20 miles,195889,15965705.36,81.5038381940793,14.939040579103473,39.59545975867285,5.542080292256605,5.436602870813398
20+ miles,28872,3296001.1,114.15908492657246,67.6625055417013,49.84035974877621,4.694549536343702,4.5905292479108635
