pickup_borough,pickup_zone,dropoff_borough,dropoff_zone,total_trips,total_revenue,average_total_amount,average_trip_distance,average_trip_duration,average_revenue_per_mile
Manhattan,Upper East Side South,Manhattan,Upper East Side North,21635,340503.59,15.738552807950082,1.0614384099838226,7.3857946229104074,16.739726768990927
Manhattan,Upper East Side North,Manhattan,Upper East Side South,19189,308534.88,16.078736776278078,1.0489421022460785,8.029161672485973,17.102875914762034
Manhattan,Upper East Side North,Manhattan,Upper East Side North,15190,200704.15,13.21291310072416,0.6480500329163923,4.797677199912222,39.04292347397532
Manhattan,Upper East Side South,Manhattan,Upper East Side South,14107,194743.04,13.80470971857943,0.6488013043170057,5.71815765222939,38.72568500224815
Manhattan,Midtown Center,Manhattan,Upper East Side South,10138,172942.46,17.058834089564016,1.0774847109883607,9.16890905504044,17.276423564412987
Manhattan,Lincoln Square East,Manhattan,Upper West Side South,8820,132096.43,14.976919501133786,0.9919863945578231,6.174077853363568,16.556021902595287
Manhattan,Upper East Side South,Manhattan,Midtown Center,8716,143617.26,16.47742771913722,1.0614777420835246,8.960666207740553,16.871844312180514
Manhattan,Midtown Center,Manhattan,Upper East Side North,8660,189522.68,21.884836027713625,1.9533163972286376,13.226537721324096,11.462573994425707
Manhattan,Upper West Side South,Manhattan,Lincoln Square East,8539,124515.29,14.581952219229418,0.8848237498536129,6.109560057774134,19.796901323471648
Manhattan,Upper West Side South,Manhattan,Upper West Side North,8301,114851.94,13.83591615468016,0.8404927117214793,5.112524595430269,19.24085730403825
Manhattan,Lenox Hill West,Manhattan,Upper East Side North,7691,122666.6,15.949369392796775,1.0888232999609933,8.062137563385775,18.12582059202558
Manhattan,Upper East Side South,Manhattan,Midtown East,7506,120780.24,16.091159072741807,0.9794204636290967,8.335591526778577,18.40399561661872
Manhattan,Upper East Side North,Manhattan,Midtown Center,7044,150861.21,21.416980408858603,1.9302896081771719,13.68686115843271,11.334776306689267
