pickup_day_of_week,pickup_day_name,is_weekend,total_trips,total_revenue,average_total_amount,average_fare_amount,average_tip_amount,average_trip_distance,average_trip_duration,average_revenue_per_mile,day_type
0,Monday,False,393005,11331302.8,28.832464726911873,19.70739751402654,3.5319816796223966,3.7740306866324853,14.963806482529908,17.433443394752487,Weekday
1,Tuesday,False,448879,12404110.57,27.633528345055126,18.604416067581685,3.4348286954836382,4.244386505049245,15.471662185132296,17.534601869673843,Weekday
2,Wednesday,False,480554,13220799.18,27.51157867794254,18.448189755989965,3.4515740582744083,3.6080822550639473,15.51958829462107,17.60789215408635,Weekday
3,Thursday,False,416030,11532275.36,27.719816743984808,18.598675191692905,3.478817585270293,3.5390635050356947,15.783849522069723,17.68578417954339,Weekday
4,Friday,False,396156,10767101.27,27.178942815456537,18.187934147154152,3.391029796342855,3.6746164894637467,15.160574706260498,17.247044861776207,Weekday
5,Saturday,True,406923,10254988.91,25.201300762060637,17.24411122005883,3.131937958778442,3.3872894380509333,13.89939374279655,17.249839005824512,Weekend
6,Sunday,True,326488,8897239.32,27.25135171889932,18.704042200632184,3.383926239249222,3.9026221178113745,13.426461717837512,17.650123976292072,Weekend
