kpi,value
Total Trips,2868035.0
Total Revenue,78407817.41
Average Total Amount,27.338514840300064
Average Fare Amount,18.4893579401925
Average Trip Distance,3.7317921468880266
Average Trip Duration,14.956520556176384
Average Revenue per Mile,17.48797870013541
Average Tip Amount,3.4025089756575495
Average Tip Percentage,21.415566675745712
Credit Card Payment Share,80.08936432086777
