pickup_borough,total_trips,total_revenue,average_total_amount,average_trip_distance,average_trip_duration,average_revenue_per_mile
Manhattan,2572024,58534866.14,22.758289246134563,2.717117083666404,13.011882451330159,17.023533060174767
Queens,257603,18603571.2,72.2179912501019,12.814787133690213,32.39842302561176,19.282485541757097
Brooklyn,22254,738652.11,33.19188056079806,14.815304214972588,31.643091878613586,22.61891007360665
Unknown,10316,319584.33,30.97948138813494,3.7252559131446294,15.3523507173323,66.22120800532345
Bronx,5742,203476.13,35.43645593869732,7.733138279345176,38.16641994659236,15.761491309614716
EWR,50,4860.04,97.2008,5.9988,7.589333333333332,2501.1978946885915
Staten Island,46,2807.46,61.03173913043479,9.986739130434783,20.179347826086957,41.55844068419616
