pickup_borough,total_trips,total_revenue,average_total_amount,median_total_amount,average_fare_amount,average_tip_amount,average_tip_percentage,average_trip_distance,average_trip_duration,average_revenue_per_mile,trip_share_percentage
Manhattan,2572024,58534866.14,22.758289246134563,19.25,14.917865750863912,2.907953953773371,21.553172283188044,2.717117083666404,13.011882451330159,17.023533060174767,89.67896137948107
Queens,257603,18603571.2,72.2179912501019,72.78,52.77561371567878,8.555764179764987,21.82880582857909,12.814787133690213,32.39842302561176,19.282485541757097,8.98186388938768
Brooklyn,22254,738652.11,33.19188056079806,29.0,28.7674215871304,1.6200714478296037,6.9206092006203015,14.815304214972588,31.643091878613586,22.61891007360665,0.7759319534106104
Unknown,10316,319584.33,30.97948138813494,20.3,22.458722373012794,3.6009286545172547,19.65910411577573,3.7252559131446294,15.3523507173323,66.22120800532345,0.35968877646193304
Bronx,5742,203476.13,35.43645593869732,34.0,32.34750957854406,0.2222030651340996,0.7849456976980009,7.733138279345176,38.16641994659236,15.761491309614716,0.20020676177243307
EWR,50,4860.04,97.2008,108.6,82.68700000000001,10.359200000000001,11.399163623881625,5.9988,7.589333333333332,2501.1978946885915,0.0017433538990981631
Staten Island,46,2807.46,61.03173913043479,38.489999999999995,45.921956521739126,4.409782608695652,5.670498524472634,9.986739130434783,20.179347826086957,41.55844068419616,0.00160388558717031
