payment_type_label,total_trips,total_revenue,average_total_amount,average_tip_amount,average_tip_percentage,average_trip_distance,trip_share_percentage
Credit card,2296991,64481551.05,28.07218271643206,4.155780579897788,26.28047575954399,3.2929638862320316,80.09
Cash,422295,10064127.37,23.831983258148924,0.00014885328976189631,0.0010290268373837985,3.3132205448797643,14.72
Unknown,115237,3054982.56,26.510431198313043,1.8442042052465788,9.13813183484852,14.153790362470389,4.02
Dispute,22874,571757.78,24.995968348343098,0.003842353764098977,0.029473584878155587,3.4280737955757625,0.8
No charge,10638,235398.65,22.128092686595224,0.004975559315660839,0.03937258511094764,2.8568819326941153,0.37
