distance_bucket,Cash,Credit card
0-1 miles,17.925872918243755,82.07412708175625
1-3 miles,14.311299604727687,85.6887003952723
3-5 miles,14.012990479580035,85.98700952041996
5-10 miles,16.361043870411514,83.63895612958848
10-20 miles,16.524010405306917,83.47598959469308
20+ miles,18.025134649910232,81.97486535008977
