dropoff_borough,total_trips,total_revenue,average_total_amount,median_total_amount,average_fare_amount,average_tip_amount,average_tip_percentage,average_trip_distance,average_trip_duration,average_revenue_per_mile,trip_share_percentage
Manhattan,2583234,62203035.46,24.079520268005144,19.3,15.739459572768087,3.095875027194594,21.61071124616091,3.0254363367778527,13.416695641974362,16.774943575410155,90.06982132365889
Queens,133282,7361113.59,55.229615326900856,53.33,40.96188517579268,6.15041663540463,14.703327768541477,10.000231464113684,27.73896612695888,30.78970150275223,4.647153887592028
Brooklyn,103001,5306889.69,51.522700653391716,48.24,40.27188988456423,5.9172789584567145,15.244578010595703,9.0227310414462,30.5888774542642,9.675713562779006,3.591343899220198
Unknown,24911,1695553.53,68.06445064429369,35.75,53.853141584039186,6.877094857693389,73.75855533479995,9.983972542250411,23.779026668272383,55.70244032198515,0.8685737796086868
Bronx,16197,901182.36,55.638844230413035,52.49,45.25806136938939,3.3012261529912945,6.869655552807057,14.680235846144347,32.1432364018028,9.477354967899926,0.5647420620738589
EWR,6804,870873.98,127.99441211052321,124.62,93.38037624926513,14.909675191064078,16.164278172768405,18.439450323339212,36.871734763864396,25.727284791847136,0.237235598589278
Staten Island,606,69168.8,114.13993399339934,115.0,85.72800330033003,9.387821782178218,10.769096814315775,22.030973597359736,42.4284103410341,9.98774883231952,0.021129449257069735
