duration_bucket,total_trips,total_revenue,average_total_amount,median_total_amount,average_fare_amount,average_tip_amount,average_trip_distance,average_revenue_per_mile,trip_share_percentage
0-5 min,336887,4441346.52,13.183490369174232,12.2,6.884467017130373,1.6799179250015583,0.8380876376945385,59.0862985543227,11.746265300109657
5-10 min,842378,13567820.87,16.10657076751767,15.96,9.307411423375255,2.102038764070287,1.3157566436920243,15.212387201727376,29.371259416290247
10-20 min,1054485,25442699.81,24.128081300350406,22.32,16.064542283674022,3.0620716558319936,3.2541796801282143,11.553937843275374,36.76681072581053
20-30 min,372680,15437147.28,41.4219901255769,34.7,29.778534211656115,5.177363260706236,6.15494287324246,9.089173480263353,12.994262622318068
30-60 min,233646,17053580.43,72.9889680542359,75.31,54.99746013199456,8.696009390274176,13.263739802949761,7.174631508509106,8.146553302173789
60+ min,27959,2465222.5,88.17277084302013,87.69,70.8487453056261,8.285880396294575,17.449754640723917,6.760526171470722,0.9748486332977109
