,trip_distance,trip_duration_minutes,fare_amount,tip_amount,total_amount,revenue_per_mile,fare_per_minute,tip_percentage
trip_distance,1.0,0.02261273035537247,0.027895180899145805,0.01867469044231665,0.027647549248280282,-0.0017122314009983867,-0.0003654304817726085,-0.002788212635150003
trip_duration_minutes,0.02261273035537247,1.0,0.8135199673773928,0.48627840598771604,0.7884267895069822,-0.05580726502628097,-0.030919923552723497,-0.18263502758377492
fare_amount,0.027895180899145805,0.8135199673773928,1.0,0.6033388188644854,0.9785812519155633,0.06513602468602914,0.08836311392431531,-0.1568436478450639
tip_amount,0.01867469044231665,0.48627840598771604,0.6033388188644854,1.0,0.7264810825024052,0.011727400941325964,0.037240185848435525,0.4360150243118658
total_amount,0.027647549248280282,0.7884267895069822,0.9785812519155633,0.7264810825024052,1.0,0.05114785639531349,0.07454339656546197,-0.04228868699036112
revenue_per_mile,-0.0017122314009983867,-0.05580726502628097,0.06513602468602914,0.011727400941325964,0.05114785639531349,1.0,0.4898578920136492,0.0004018780081343048
fare_per_minute,-0.0003654304817726085,-0.030919923552723497,0.08836311392431531,0.037240185848435525,0.07454339656546197,0.4898578920136492,1.0,-0.013200163077489776
tip_percentage,-0.002788212635150003,-0.18263502758377492,-0.1568436478450639,0.4360150243118658,-0.04228868699036112,0.0004018780081343048,-0.013200163077489776,1.0
