pickup_day_of_week,pickup_day_name,pickup_hour,total_trips,total_revenue,average_total_amount,average_trip_distance,average_trip_duration
0,Monday,0,11313,356189.42,31.484965968354988,4.267067974896137,15.443625327793983
0,Monday,1,9014,262510.74,29.122558242733525,3.5679210117594855,15.441544634272613
0,Monday,2,6876,187775.16,27.308778359511344,3.266425247236765,13.991184312584837
0,Monday,3,5331,151892.81,28.49236728568749,3.529352841868317,13.312496092040268
0,Monday,4,3893,121115.46,31.11108656563062,4.399391215001285,13.803262265604932
0,Monday,5,3511,124264.62,35.39294218171461,5.78823981771575,15.847180290515523
0,Monday,6,6726,212565.0,31.603479036574488,5.059107939339874,16.631797006640895
0,Monday,7,12176,338188.0,27.77496714848883,3.870502628120893,15.668960797196672
0,Monday,8,16411,434929.08,26.502289927487663,3.294333069282798,15.553484451485792
0,Monday,9,17676,481887.72,27.262260692464356,3.323093460058837,15.564663951120163
0,Monday,10,18592,515867.6,27.746751290877796,3.4827985154905337,15.478459373207114
0,Monday,11,20047,527381.29,26.3072424801716,3.243828004190153,14.833048170133518
0,Monday,12,22210,581271.44,26.171609185051775,3.245795137325529,14.413093201260693
0,Monday,13,23084,639780.67,27.71532966556923,3.5588693467336685,15.254318286836481
0,Monday,14,25734,745786.93,28.980606590502838,3.7244159477733736,16.295145203492137
0,Monday,15,26341,734620.94,27.888878174708626,4.620646520633233,16.058133707907825
0,Monday,16,25712,788982.1,30.68536481020535,3.7611068761667705,16.198247899813317
0,Monday,17,27301,789186.83,28.90688363063624,3.3845404930222336,15.29143560064955
0,Monday,18,27687,762566.67,27.542408711669736,3.1722270379600532,13.724033541613993
0,Monday,19,22893,673961.07,29.439613418949023,3.693892019394575,13.392654232006873
0,Monday,20,19928,583712.26,29.291060818948214,3.8796813528703327,13.301440184664791
0,Monday,21,17683,525466.62,29.715920375501895,4.0471243567268,13.270676167317008
0,Monday,22,13274,439868.61,33.13760810607202,4.802489076389935,14.094514338807695
0,Monday,23,9592,351531.76,36.64843202668891,5.670213719766473,15.670372880177927
1,Tuesday,0,6067,214049.36,35.28092302620735,5.516797428712708,15.247925938135268
1,Tuesday,1,2464,89272.74,36.230819805194805,5.773920454545455,14.896435335497834
1,Tuesday,2,1217,40194.409999999996,33.0274527526705,5.109819227608874,13.713790742262395
1,Tuesday,3,879,32240.84,36.67899886234357,5.9306029579067125,14.241751990898749
1,Tuesday,4,1101,45146.11,41.00464123524069,6.911671207992734,16.55104450499546
1,Tuesday,5,2925,110536.87,37.7903829059829,6.3743316239316234,17.64074074074074
1,Tuesday,6,7503,218563.41,29.130135945621753,46.184979341596694,16.051212848194055
1,Tuesday,7,16494,430228.54,26.083942039529525,6.98826239844792,15.769077644395942
1,Tuesday,8,22185,575479.96,25.940047780031552,4.575720982645931,16.629524453459545
1,Tuesday,9,23015,618180.31,26.85988746469694,2.9845392135563764,17.264872908972407
1,Tuesday,10,23397,636130.24,27.18853870154293,4.552845236568791,17.45233292017495
1,Tuesday,11,24844,652143.19,26.249524633714376,2.8035215746256643,16.94417766865239
1,Tuesday,12,25185,677642.38,26.90658646019456,3.0624101647806237,16.565930117133213
1,Tuesday,13,26052,696267.46,26.72606556118532,3.1694737448180565,16.08854598495317
1,Tuesday,14,28838,793631.52,27.520338442333035,3.2705010749705252,16.8220010634117
1,Tuesday,15,29721,802227.99,26.991958211365702,3.1375492076309683,17.031373439655464
1,Tuesday,16,29057,884104.17,30.426546787349004,3.3588732491310185,16.923739546408783
1,Tuesday,17,33124,936962.61,28.286517630720926,2.93146208187417,15.52979410699191
1,Tuesday,18,34095,913096.49,26.780949992667548,2.724894266021411,13.739428068631764
