pickup_hour,total_trips,total_revenue,average_total_amount,average_fare_amount,average_tip_amount,average_trip_distance,average_trip_duration,average_revenue_per_mile,trip_share_percentage
0,75166,2147600.73,28.57143828326637,19.687451374291566,3.4200138360428918,3.853073730143948,13.724993791519214,16.845480425120567,2.6208187835922505
1,50437,1306245.28,25.898552253306104,17.72793009100462,3.0367894601185634,3.2667793484941607,12.690923660540212,17.499778594348253,1.758590812176281
2,34937,859245.77,24.594148610355784,16.619986833443054,2.8904181812977643,3.03954460886739,12.011931476657983,17.142199013449154,1.2181511034558505
3,22923,612113.3,26.703018802076517,18.523858133752128,2.939647079352615,3.5152466954587096,12.154494030740596,18.868748479716523,0.7992580285805437
4,15263,495412.98,32.458427569940376,23.425806197995154,3.304404769704514,4.869355958854746,13.994601323461968,19.304749366171855,0.5321762112387053
5,17487,656879.43,37.56387201921428,27.500017155601302,3.9649911362726598,9.17998398810545,16.532858695030594,21.49282983051087,0.6097205926705915
6,39393,1187456.41,30.14384306856548,22.01754271063387,3.233500875790115,13.476371690401846,15.73676203047919,16.17848428665522,1.3735188029434786
7,80824,2143610.38,26.521953627635355,18.7429355142037,3.1425115064832227,6.178154879738692,14.99656310831766,15.076592708747533,2.8180967108141988
8,113451,2897223.32,25.53722153176261,17.829608817903765,3.1182520206961595,5.5940903121171255,15.179175738130706,16.370307717708627,3.9557048641317136
9,125541,3250967.79,25.895665878079672,17.946207852414748,3.2078946320325628,3.049711409021754,15.121359157566054,16.430152245783795,4.377247836933649
10,135336,3522190.79,26.025527501921143,18.0383835786487,3.2066518147425667,3.319585254477744,15.230317998660125,16.352585232012345,4.718770865766979
11,146659,3735057.34,25.46763130800019,17.62346940862818,3.158668339481382,3.479513974594126,15.10024171718067,18.022788832591434,5.11357078975675
12,159825,4110762.81,25.72039924917879,17.79576111371813,3.1878880650711716,3.3492683872986073,15.105238542155483,17.302492663158006,5.572630738467279
13,165211,4377672.91,26.497466330934383,18.414989679863933,3.294436326878961,3.16219670603047,15.485880278351118,17.367664261772877,5.760424820478132
14,177879,4919405.37,27.65590862327762,19.26864598968962,3.4533063486977107,3.6549957555416883,16.446593283449236,18.002327094122457,6.202120964353643
15,183855,5037889.75,27.401429115335453,19.115011340458516,3.3980807157814583,3.9610066628593184,16.750087931612775,17.98300661901123,6.410486622373855
16,184829,5498748.64,29.7504646998036,19.455472788361135,3.7387913693197494,3.3995430911815787,16.898076961227222,19.96343017394029,6.444447156328287
17,200166,5634956.6,28.15141732362139,18.12420331125166,3.5565091474076516,3.0626358122758113,15.892954680948145,18.4093826457441,6.9792035313376575
18,206157,5534282.33,26.84498867368074,17.015020882143222,3.4262069684754826,2.862123527214696,14.353037652533423,18.01841357283141,7.1880921955276
19,178688,4942607.11,27.660543013520776,17.62933174023997,3.5236208922815186,3.157302392997851,13.78839410965855,18.26514798367809,6.230328430441051
20,155461,4241760.58,27.285046281704094,18.046697628344088,3.548899466747287,3.361024951595577,13.478556572602345,17.00765207308349,5.420470810153991
21,155827,4279742.51,27.464704512055032,18.311788393538986,3.589987293601237,3.4586267463276585,13.4918687604416,15.656738378168534,5.43323216069539
22,138162,3921788.42,28.385434634704186,19.110366671009395,3.6350919210781547,3.6624775987608746,13.837045642072349,16.55039454720192,4.817305228144008
23,104558,3094196.86,29.593114443658063,20.247789360928863,3.6342935978117406,4.020904091509019,14.157718682453758,17.278209696653327,3.6456319396381143
