payment_type_label,total_trips,total_revenue,average_total_amount,median_total_amount,average_fare_amount,average_tip_amount,median_tip_amount,average_tip_percentage,median_tip_percentage,average_trip_distance,average_trip_duration,trip_share_percentage
Credit card,2296991,64481551.05,28.07218271643206,20.64,18.372195946784295,4.155780579897788,3.14,26.28047575954399,26.249999999999996,3.2929638862320316,14.969561170824496,80.08936432086777
Cash,422295,10064127.37,23.831983258148924,16.8,18.589955315596917,0.00014885328976189631,0.0,0.0010290268373837985,0.0,3.3132205448797643,14.71414311480521,14.724192696393176
Unknown,115237,3054982.56,26.510431198313043,22.08,20.357188055919536,1.8442042052465788,0.0,9.13813183484852,0.0,14.153790362470389,16.10404253842082,4.0179774654075
Dispute,22874,571757.78,24.995968348343098,16.5,19.657843840167878,0.003842353764098977,0.0,0.029473584878155587,0.0,3.4280737955757625,13.59631677887558,0.7975495417594276
No charge,10638,235398.65,22.128092686595224,15.0,17.04803346493702,0.004975559315660839,0.0,0.03937258511094764,0.0,2.8568819326941153,12.256475214639343,0.3709159755721252
