,trip_distance,trip_duration_minutes,fare_amount,tip_amount,total_amount,revenue_per_mile,fare_per_minute,tip_percentage
trip_distance,1.0,0.015663282700846996,0.01831016251008575,0.011443854532987808,0.0180362763893165,-0.0010274673558229872,-0.00024659505406412525,-3.335796497724439e-05
trip_duration_minutes,0.015663282700846996,1.0,0.8128249633139547,0.48715579270952764,0.7883971161690065,-0.053757609437587284,-0.03157932290527068,-0.0006333385974362975
fare_amount,0.01831016251008575,0.8128249633139547,1.0,0.6039744123944413,0.9785672425341625,0.06733886923834485,0.09445977470444573,-0.0037749526435378183
tip_amount,0.011443854532987808,0.48715579270952764,0.6039744123944413,1.0,0.7271538127570641,0.017416179637401254,0.04325960247143589,0.03020571890400339
total_amount,0.0180362763893165,0.7883971161690065,0.9785672425341625,0.7271538127570641,1.0,0.053976852284029465,0.08026870818803179,0.0028976740815966923
revenue_per_mile,-0.0010274673558229872,-0.053757609437587284,0.06733886923834485,0.017416179637401254,0.053976852284029465,1.0,0.5340000849106084,5.988649379370471e-05
fare_per_minute,-0.00024659505406412525,-0.03157932290527068,0.09445977470444573,0.04325960247143589,0.08026870818803179,0.5340000849106084,1.0,-0.00027776809035171934
tip_percentage,-3.335796497724439e-05,-0.0006333385974362975,-0.0037749526435378183,0.03020571890400339,0.0028976740815966923,5.988649379370471e-05,-0.00027776809035171934,1.0
