pickup_borough,total_trips,average_total_amount,median_total_amount,std_total_amount,average_trip_distance,average_trip_duration,average_revenue_per_mile
Queens,257603,72.2179912501019,72.78,30.92510164202538,12.814787133690213,32.39842302561176,19.282485541757097
Bronx,5742,35.43645593869732,34.0,16.93888226675601,7.733138279345176,38.16641994659236,15.761491309614716
Brooklyn,22254,33.19188056079806,29.0,19.622144480423863,14.815304214972588,31.643091878613586,22.61891007360665
Manhattan,2572024,22.758289246134563,19.25,13.983422055028202,2.717117083666404,13.011882451330159,17.023533060174767
