dropoff_borough,total_trips,total_revenue,average_total_amount,average_trip_distance,average_trip_duration,average_revenue_per_mile
Manhattan,2583234,62203035.46,24.079520268005144,3.0254363367778527,13.416695641974362,16.774943575410155
Queens,133282,7361113.59,55.229615326900856,10.000231464113684,27.73896612695888,30.78970150275223
Brooklyn,103001,5306889.69,51.522700653391716,9.0227310414462,30.5888774542642,9.675713562779006
Unknown,24911,1695553.53,68.06445064429369,9.983972542250411,23.779026668272383,55.70244032198515
Bronx,16197,901182.36,55.638844230413035,14.680235846144347,32.1432364018028,9.477354967899926
EWR,6804,870873.98,127.99441211052321,18.439450323339212,36.871734763864396,25.727284791847136
Staten Island,606,69168.8,114.13993399339934,22.030973597359736,42.4284103410341,9.98774883231952
