,trip_distance,trip_duration_minutes,fare_amount,tip_amount,total_amount,revenue_per_mile,fare_per_minute,tip_percentage
trip_distance,1.0,0.8626351236322282,0.9290206244360746,0.4098530246450595,0.9016323151975283,-0.9247585198379069,-0.027716957952304982,-0.27418530987534734
trip_duration_minutes,0.8626351236322282,1.0,0.9510074301770807,0.41280129850133607,0.916883402787757,-0.6797701571799702,-0.390383197154975,-0.29370308071291706
fare_amount,0.9290206244360746,0.9510074301770807,1.0,0.42731925225273915,0.9636252072199406,-0.7717709169502249,-0.1775049841610713,-0.30755252608273037
tip_amount,0.4098530246450595,0.41280129850133607,0.42731925225273915,1.0,0.5745203586041675,-0.18899678223196234,-0.059437047638127016,0.5812479710875093
total_amount,0.9016323151975283,0.916883402787757,0.9636252072199406,0.5745203586041675,1.0,-0.6944537819126966,-0.154879020145397,-0.10735892852851169
revenue_per_mile,-0.9247585198379069,-0.6797701571799702,-0.7717709169502249,-0.18899678223196234,-0.6944537819126966,1.0,-0.13224266570277102,0.39906436931009015
fare_per_minute,-0.027716957952304982,-0.390383197154975,-0.1775049841610713,-0.059437047638127016,-0.154879020145397,-0.13224266570277102,1.0,0.07817306688747482
tip_percentage,-0.27418530987534734,-0.29370308071291706,-0.30755252608273037,0.5812479710875093,-0.10735892852851169,0.39906436931009015,0.07817306688747482,1.0
